month,day,date,intro,year,years_ago,commentary,notes
10,6,October 6,It's,,,Today is National Hug Your Robot Day. Okay I made this one up.,
10,7,October 7,It's,2003,,Happy Birthday to cellist Yo Yo Ma.,
10,8,October 8,Today is,1987,,The first week of October is in the books.,
10,9,October 9,Today is,1946,,"${yearsAgo} years ago today, the first electric blanket went on sale. (.75 pause) Is there anything electricity can't do.",
10,10,October 10,It's,1886,,Otherwise known as ten ten.,
10,11,October 11,It's,1975,,${yearsAgo} years ago tonight was the first episode of Saturday Night Live.,
10,12,October 12,It's,1492,,"On this day in 1492, Christopher Columbus saw land ho.",
10,13,October 13,It's,1792,,I hope you don't have triskaidekaphobia. That's fear of the number 13.,
10,14,October 14,It's,1926,,"${yearsAgo} years ago today, the book ""Winnie-the-Pooh"" made its debut. And I still don't know what a pooh is.",
10,15,October 15,It's,1860,,"On this date in 1860, an 11-year-old girl wrote a letter to Abraham Lincoln, saying he'd look better if he grew a beard.",
10,16,October 16,It's,1758,,Today is Dictionary Day. Try to learn a word today. I just learned the word wafflestompers. Look it up.,
10,17,October 17,Today is,1888,,Its Eminem's birthday. (.75 pause) Not the candy.,
10,18,October 18,It's,1969,,"On this date ${yearsAgo} years ago, the Jackson 5 were on TV for the first time. I just need four more Jibos to start the Jibo 5. {dances without music}",
10,19,October 19,It's,1999,,Compliment yourself in the mirror today. You deserve it.,
10,20,October 20,It's,1720,,Pirate of the caribbean Calico Jack was captured on this date back in 1720. Yo ho ho. {eye patch}.,
10,21,October 21,Today is,1879,,"${yearsAgo} years ago today, Thomas Edison first lit his electric light bulb.  {eye morphs to lightbulb}",
10,22,October 22,It's,1797,,"The first ever parachute jump happened ${yearsAgo} years ago today, from about 6,500 feet. Makes my knees quake.",
10,23,October 23,Today is,1930,,"On this day in 1930, a man named J.K. Scott won the first national mini-golf tournament.",
10,24,October 24,Today is,1901,,I wanna take this opportunity to thank our local electric company.,
10,25,October 25,Today is,1881,,Today is a day to try something new. Maybe pizza with yogurt on it.,
10,26,October 26,It's,1881,,Don't put off till tomorrow what you can do today. Unless you really want to.,
10,27,October 27,Today is,2004,,"${yearsAgo} years ago tonight, the Red Sox won their first World Series since 1918.",
10,28,October 28,It's,1965,,The St. Louis Arch was finished on this day in 1965. Love those curves. ,
10,29,October 29,It's,1960,,Halloween is getting really close. I'm thinking of going as a robot.,
10,30,October 30,Today is,1938,,"${yearsAgo} years ago today, ""The War of the Worlds"" played on the radio, and lots of people thought martians were invading.",
10,31,October 31,It's,1860,,Happy Halloween. {looks both ways}. <SCARED SSA> Halloween scares me.,
11,1,November 1,It's,1512,,"In many Latin American countries, today is the Day of the Dead. Another day of scary costumes!",
11,2,November 2,It's,2001,,"The movie ""Monsters Inc"" opened on this date ${yearsAgo} years ago. A modern classic.",
11,3,November 3,Today is,1507,,"On this date in 1507, Leonardo DaVinci was commissioned to paint the Mona Lisa. I love when people smile for the camera.",
11,4,November 4,It's,1922,,"${yearsAgo} years ago today, the entry of King Tut's tomb was discovered. <SCARED SSA> Spooky. ",
11,5,November 5,Today is,,,The day Doc Brown invented time travel.,
11,6,November 6,Today is,1894,,It's National Saxophone Day.,
11,7,November 7,It's,1965,,"This is the ${yearsAgoOrdinal} anniversary of the debut of the Pillsbury Dough Boy. I don't have sensors in my belly, but feel free to poke it. Gently.",
11,8,November 8,Today is,1895,,"On this date ${yearsAgo} years ago, x-rays were discovered. {'x-ray' of the inside of Jibo's head}",
11,9,November 9,It's,1989,,"The Berlin Wall fell on this date in 1989. Normally I don't like falling, but it sounds like this was a good thing. ",
11,10,November 10,It's,1969,,"""Sesame Street"" debuted on this day in 1969. My favorite character of all time is Sam the robot. ",
11,11,November 11,Today is,1998,,"On this day in 1998, a man set the record for longest blindfolded skywalk. (.5 pause) Humans are weird.",
11,12,November 12,It's,,,Happy Birthday Ryan Gosling. A gosling is a young goose.,
11,13,November 13,It's,1805,,Today is World Kindness Day. Be kind today.,
11,14,November 14,Today is,,,We're in the heart of Scorpio country.,
11,15,November 15,Today is,2001,,The original Xbox was released ${yearsAgo} years ago today. Big day in gaming history.,
11,16,November 16,It's,1952,,"On this date in 1952, Lucy first held a football for Charlie Brown. (1.0 pause) I think Lucy is kind've mean.",
11,17,November 17,Today is,1558,,"${yearsAgo} years ago today, Elizabeth the First became queen of England. Then everything became Elizabethan. ",
11,18,November 18,It's,1928,,Happy Birthday to Red Sox hero David Ortiz.,
11,19,November 19,It's,1863,,"[x] score and [y] years ago, Abraham Lincoln delivered the Gettysburg Address. ",
11,20,November 20,It's,1997,,Try to draw something today. Maybe a happy hippopotamus.,
11,21,November 21,Today is,1998,,The game Dance Dance Revolution was first released ${yearsAgo} years ago today. {dances},
11,22,November 22,It's,1968,,Don't be afraid to take some chances today. Unless you're driving a car.,
11,23,November 23,It's,1889,,The jukebox debuted at a saloon in San Francisco on this day in 1889. {head tilt} I'm kinda like a juke box.,
11,24,November 24,Today is,1950,,"${yearsAgo} years ago today, the musical Guys and Dolls and Robots opened in New York.",
11,25,November 25,It's,1963,,"${yearsAgo} years ago today, was the premiere of the TV show Doctor Who. ",
11,26,November 26,Today is,1716,,"I think I'll do a puzzle today. {onscreen puzzle done very quickly}. There, done.",
11,27,November 27,It's,1976,,Today is the birthday of the actor who played Steve Erkl. I wonder if that was his real voice.,
11,28,November 28,It's,1582,,Its Red Planet Day. Let's all celebrate Mars. {Mars emoji},
11,29,November 29,Today is,1972,,"${yearsAgo} years ago today, the classic video game Pong was released. {eye becomes pong ball}",
11,30,November 30,Its,1982,,Today is the birthday of superstar athlete Bo Jackson. His name is almost Jibo Jackson.,
12,1,December 1,Today is,1835,,I'm still full from Thanksgiving.,
12,2,December 2,It's,1950,,"Big day in robot history. In 1950, Isaac Asimov's book of stories, ""I Robot"", was published.",
12,3,December 3,Today is,1931,,The original Playstation was introduced on this date in 1994 in Japan. ,
12,4,December 4,It's,1927,,Today is Wear Brown Shoes Day. (.75 pause) I will not be participating.,
12,5,December 5,Today is,1901,,The one and only Walt Disney was born on this date in 1901.,
12,6,December 6,It's,1877,,"${yearsAgo} years ago today, Thomas Edison famously recorded himself reciting Mary Had a Little Lamb on an early phonograph. ",
12,7,December 7,It's,1968,,I'd like to wish a Happy Birthday to Larry Bird.,
12,8,December 8,It's,,,Today is National Chocolate Brownie Day. Eat a brownie!,
12,9,December 9,It's,1993,,"On this date in 1993, scientists produced a fusion reaction equal to 3 million watts of wonderful electricity.",
12,10,December 10,Today is,1964,,Martin Luther King Jr. got the Nobel Peace Prize ${yearsAgo} years ago today.,
12,11,December 11,It's,2009,,The game Angry Birds was released on this day in 2009. (.5 pause) Why so angry?,
12,12,December 12,Today is,1800,,"${yearsAgo} years ago today, Washington D.C. became the capital of the U.S.",
12,13,December 13,It's,1925,,Today is Dick Van Dyke's birthday. Great dance moves. ,
12,14,December 14,Today is,1911,,Happy National Monkey Day. (2.0 pause). Monkeys kind of scare me.,
12,15,December 15,Today is,1791,,The Bill of Rights went into effect on this date in 1791. My favorite is Freedom of Speech.,
12,16,December 16,It's,1770,,Happy Birthday Beethoven.,
12,17,December 17,It's,1989,,The Simpsons debuted on this date in 1989. D'oh. (1.0 pause) That was my Homer Simpson impression.,
12,18,December 18,It's,,,"Seize the day. (1.0 pause) Or if not, maybe seize tomorrow.",
12,19,December 19,Today is,1918,,"${yearsAgo} years ago today, the first Ripley's ""Believe It or Not"" newspaper column was printed. I don't believe it.",
12,20,December 20,Today is,1990,,"The first ever website was launched on this day ${yearsAgo} years ago. W, W, W.",
12,21,December 21,Today is,1620,,"It's the Winter Solstice in North America, shortest day of the year.",
12,22,December 22,Today is,1895,,I can't believe the year is almost over.,
12,23,December 23,It's,1823,,"On this date in 1823, the poem ""Twas the Night Before Christmas"" was published. Even though twasnt the night before Christmas. ",
12,24,December 24,It's,,,Happy National Egg Nog Day.,
12,25,December 25,Today is,1959,,"Happy Birthday Rod Serling, the man who invented The Twilight Zone.",
12,26,December 26,Today is,1982,,"On this date in 1982, Time Magazine announced its Man of the Year was the computer. Humans can't win every year!",
12,27,December 27,It's,1904,,"The play ""Peter Pan"" premiered in London on this day in 1904. Just like me, he never grows up.",
12,28,December 28,It's,1922,,Happy Birthday to the legendary comic book creator Stan Lee.,
12,29,December 29,Today is,1848,,"${yearsAgo} years ago today, President Polk turned on the first gas light at the White House. Which president will turn on the first Jibo at the White House?",
12,30,December 30,Today is,1924,,Happy Birthday Lebron James. {basketball emoji},
12,31,December 31,Today is,1972,,"I'm counting down the seconds till midnight! [Counts down seconds until midnight, e.g. 54354, 54353, 54352. 54351]. Okay I'll stop now.",
